Analysis,HR,CI_lower,CI_upper,P,P_formatted
1. Primary (GB PS IPTW),1.1969,1.1302,1.2675,7.95526840539828e-10,<0.001
2. LR PS (Alternate),1.2782,1.2073,1.3534,3.5643693492494704e-17,<0.001
3. Crude (Unweighted),1.9234,1.8514,1.9982,1.7304525697134e-247,<0.001
4. Stratified (DB),1.1897,1.1264,1.2566,4.75975550811838e-10,<0.001
5. Time-varying effect,1.2621,1.1236,1.4176,8.68649737179582e-05,<0.001
6. Fine-Gray (Unweighted),1.9044,1.8334,1.9781,3.59842178450228e-242,<0.001
7. Multivariable Cox,1.0422,0.9953,1.0914,0.0783265499771267,0.078
8a. IPTW (No trim),1.0983,1.0296,1.1717,0.0044676409023544,0.004
8b. IPTW (5/95 trim),1.4538,1.3888,1.5219,9.33135808320618e-58,<0.001
9. LOO-HRS,1.2387,1.1583,1.3247,4.02057477569275e-10,<0.001
9. LOO-KLoSA,1.2798,1.2081,1.3557,4.80346080663031e-17,<0.001
9. LOO-SHARE,1.2901,1.1745,1.4171,1.04888323492425e-07,<0.001
10. PS Matching (1:1 NN),0.9221,0.8797,0.9665,0.0007332996671439,<0.001
