covariate,sci_name,SMD_unweighted,SMD_weighted,abs_SMD_weighted,balanced
depression,Depressive Symptoms,1.3579,0.2804,0.2804,No
srh,Self-Rated Health,0.671,0.2068,0.2068,No
education,Education Level,-0.2958,-0.1291,0.1291,No
married,Married/Partnered,-0.5575,-0.1087,0.1087,No
adl,ADL Limitations,0.5297,0.0974,0.0974,Yes
iadl,IADL Limitations,0.4907,0.0792,0.0792,Yes
arthre,Arthritis,0.365,0.0654,0.0654,Yes
gender,Gender (Male),-0.2244,-0.0615,0.0615,Yes
age,Age,0.274,0.0583,0.0583,Yes
hibpe,Hypertension,0.2341,0.0533,0.0533,Yes
lunge,Lung Disease,0.2032,0.0506,0.0506,Yes
stroke,Stroke,0.2327,0.0505,0.0505,Yes
drink,Alcohol Use,-0.2491,0.0404,0.0404,Yes
hearte,Heart Disease,0.2372,0.0377,0.0377,Yes
diabe,Diabetes,0.2082,0.0335,0.0335,Yes
smoken,Current Smoking,0.078,0.0232,0.0232,Yes
cancre,Cancer,0.0885,-0.0084,0.0084,Yes
